,headline,final_score,datetime
2,A Look Into Robert Half International's (NYSE:RHI) Impressive Returns On Capital,86,2023-05-04 03:23:11
3,Robert Half International Inc. stock outperforms competitors despite losses on the day,90,2023-05-03 21:23:00
4,Robert Half International (RHI) Declares $0.48 Dividend,86,2023-05-03 16:31:30
5,Robert Half International Inc. stock underperforms Wednesday when compared to competitors,90,2023-05-03 10:22:00
6,Robert Half Tops Forbes' List of America's Best Professional Recruiting Firms 2023,86,2023-05-03 09:30:00
9,Robert Half declares $0.48 dividend,53,2023-05-03 05:54:00
10,ROBERT HALF ANNOUNCES QUARTERLY DIVIDEND,61,2023-05-02 15:27:00
11,Robert Half International Inc. stock underperforms Tuesday when compared to competitors,90,2023-05-02 10:21:00
12,"Analysts Offer Insights on Services Companies: Robert Half (RHI), Bloomin` Brands (BLMN) and Flight Centre Travel Group Limited (OtherFGETF)",86,2023-05-02 00:21:00
13,Robert Half International Inc. stock outperforms competitors on strong trading day,90,2023-05-01 10:20:00
14,Robert Half Stock (NYSE:RHI): Poised to Rebound Back if Unemployment Rises,86,2023-04-30 21:40:00
16,BMO Capital Maintains Robert Half International (RHI) Market Perform Recommendation,86,2023-04-28 19:49:00
17,Robert Half International Inc. stock underperforms Friday when compared to competitors,90,2023-04-28 10:20:00
18,Robert Half Named to Forbes' List of America's Best Employers for Diversity 2023,86,2023-04-28 10:00:00
19,"Analysts Have Conflicting Sentiments on These Services Companies: Comcast (CMCSA), Robert Half (RHI) and Cimpress (CMPR)",86,2023-04-28 04:41:00
21,RHI Crosses Above Average Analyst Target,60,2023-04-27 23:48:00
22,"Analysts Have Conflicting Sentiments on These Services Companies: Robert Half (RHI), WEX (WEX) and Bloomin` Brands (BLMN)",86,2023-04-27 20:41:00
23,Credit Suisse Reiterates Robert Half International (RHI) Underperform Recommendation,86,2023-04-27 20:05:40
24,"Robert Half International Inc. stock rises Thursday, outperforms market",90,2023-04-27 10:22:00
25,"Robert Half's (RHI) Q1 Earnings Beat Estimates, Decline Y/Y",86,2023-04-27 09:20:04
26,Goldman Sachs Sticks to Their Sell Rating for Robert Half (RHI),86,2023-04-27 05:55:00
27,"Analysts Offer Insights on Services Companies: Churchill Downs (CHDN), Robert Half (RHI) and Starbucks (SBUX)",86,2023-04-27 00:51:00
28,Robert Half International Inc. (RHI) Q1 2023 Conference Call Transcript,90,2023-04-26 14:56:05
29,ROBERT HALF REPORTS FIRST-QUARTER FINANCIAL RESULTS,86,2023-04-26 13:05:00
30,"Robert Half International Inc. stock falls Wednesday, underperforms market",90,2023-04-26 10:21:00
31,Robert Half: Q1 Earnings Snapshot,61,2023-04-26 09:28:00
32,Robert Half Sees Bullish Implications With Its Unusual Options Volume,86,2023-04-26 00:57:11
33,"Robert Half sees Q2 EPS $1.09-$1.19, consensus $1.25",86,2023-04-25 22:45:00
34,"Robert Half GAAP EPS of $1.14 in-line, revenue of $1.72B beats by $10M",86,2023-04-25 20:19:00
35,"Robert Half reports Q1 EPS $1.14, consensus $1.13",86,2023-04-25 20:16:00
37,Robert Half Q1 2023 Earnings Preview,58,2023-04-24 21:39:00
38,Robert Half International Inc. stock underperforms Monday when compared to competitors,90,2023-04-24 10:21:00
41,Robert Half International Inc. stock underperforms Thursday when compared to competitors,90,2023-04-20 10:21:00
42,Robert Half (RHI) to Post Q1 Earnings: What's in the Cards?,86,2023-04-20 07:13:02
46,ROBERT HALF ANNOUNCES SCHEDULE FOR FIRST-QUARTER EARNINGS RESULTS AND CONFERENCE CALL,86,2023-04-19 13:05:00
49,Robert Half International Inc. stock outperforms market on strong trading day,90,2023-04-17 10:20:00
51,"Robert Half International Inc. stock falls Friday, underperforms market",90,2023-04-14 10:20:00
52,"Robert Half Releases 2022 Global ESG Report Highlighting Environmental, Social and Governance Efforts",86,2023-04-13 15:00:00
53,Will Weakness in Robert Half International Inc.'s (NYSE:RHI) Stock Prove Temporary Given Strong Fundamentals?,90,2023-04-13 05:01:52
54,Robert Half: May Be Too Soon To Buy,53,2023-04-11 21:00:06
55,Robert Half International Inc. stock underperforms Tuesday when compared to competitors despite daily gains,90,2023-04-11 10:20:00
60,Robert Half Named One of Fortune's 100 Best Companies to Work For®,86,2023-04-04 08:55:00
62,"Robert Half International Inc. stock falls Monday, underperforms market",90,2023-04-03 10:20:00
63,RHI Crosses Above Key Moving Average Level,60,2023-03-30 03:22:00
64,"Robert Half International Inc. stock rises Wednesday, still underperforms market",90,2023-03-29 10:20:00
65,Robert Half Named to Fortune® America's Most Innovative Companies List,86,2023-03-29 08:30:00
67,Is There Now An Opportunity In Robert Half International Inc. (NYSE:RHI)?,90,2023-03-27 09:46:56
68,Robert Half Promotes Susan Haseley to Chief ESG and DEI Officer,86,2023-03-23 09:30:00
69,Robert Half names Susan Haseley chief ESG and DEI officer,86,2023-03-23 04:31:00
70,"Robert Half International Inc. stock falls Thursday, underperforms market",90,2023-03-22 21:22:00
71,Robert Half Promotes JoLynn Conway-James to Senior Executive Director and Chief Administrative Officer,86,2023-03-21 07:45:00
72,Robert Half appoints JoLynn Conway-James to CAO,86,2023-03-21 02:48:00
73,Here's Why Investors Should Hold Robert Half (RHI) Stock Now,86,2023-03-17 09:39:04
